-2066;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
-2066;No;No;Otra causa;Ninguno;Ninguno;
4860;Si;No;Falta de dinero;Ninguno;Tercero Primaria;Trabajador(a) cuenta propia agra­cola
4860;Si;Si;;Tercero Primaria;Segundo Primaria;
4860;Si;Si;;Cuarto Primaria;Tercero Primaria;
4860;No;No;Falta de dinero;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
4860;Si;Si;;Quinto Primaria;Cuarto Primaria;
4890;Si;Si;;Cuarto Primaria;Tercero Primaria;
4890;No;No;Falta de dinero;Ninguno;Ninguno;Trabajador(a) cuenta propia agra­cola
4890;Si;Si;;Primero Primaria;Preprimaria;
4890;Si;Si;;Sexto Primaria;Quinto Primaria;
12701;Si;Si;;Cuarto Primaria;Tercero Primaria;
12701;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia agra­cola
12701;No;No;Otra causa;Ninguno;Ninguno;
12701;Si;Si;;Sexto Primaria;Quinto Primaria;
12710;Si;Si;;Cuarto Primaria;Tercero Primaria;
12710;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia agra­cola
12710;No;No;Otra causa;Ninguno;Ninguno;
12710;Si;Si;;Sexto Primaria;Quinto Primaria;
12865;Si;Si;;Cuarto Primaria;Tercero Primaria;
12865;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
12891;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia agra­cola
12891;Si;Si;;Segundo Basico;Primero Basico;
12891;Si;Si;;Tercero Primaria;Segundo Primaria;
17685;Si;Si;;Cuarto Primaria;Tercero Primaria;
17685;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
17685;No;Si;;Preprimaria;Ninguno;
17685;Si;Si;;Primero Basico;Sexto Primaria;
17736;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia agra­cola
17736;No;No;Otra causa;Ninguno;Ninguno;
17736;Si;No;Falta de dinero;Ninguno;Quinto Primaria;
