-2066;SOLOLA;TZUNUNA
4860;TOTONICAPAN;PAMARIA (CIUDAD)
4890;TOTONICAPAN;PAMARIA (CIUDAD)
12701;TOTONICAPAN;SAN LUIS SIBILA (CASERIO)
12710;TOTONICAPAN;PAMARIA (CIUDAD)
12865;TOTONICAPAN;XEJUYUP (CASERIO)
12891;TOTONICAPAN;JOCOTE SECO (CASERIO)
17685;TOTONICAPAN;SAN LUIS SIBILA (CASERIO)
17736;TOTONICAPAN;TZANXAN
17794;TOTONICAPAN;SAN LUIS SIBILA (CASERIO)
17804;TOTONICAPAN;SAN LUIS SIBILA (CASERIO)
17879;TOTONICAPAN;GUALTUX (CIUDAD)
17904;TOTONICAPAN;PAMARIA (CIUDAD)
17942;TOTONICAPAN;PAQUIX (CASERIO)
17969;TOTONICAPAN;XEJUYUP (CASERIO)
18070;TOTONICAPAN;SAN LUIS SIBILA (CASERIO)
18072;TOTONICAPAN;SAN LUIS SIBILA (CASERIO)
27653;SOLOLA;CERRO DE ORO
27710;SOLOLA;CERRO DE ORO
27718;SOLOLA;CERRO DE ORO
27791;SOLOLA;CERRO DE ORO
27797;SOLOLA;CERRO DE ORO
27903;SOLOLA;CERRO DE ORO
27911;SOLOLA;CERRO DE ORO
27955;SOLOLA;CERRO DE ORO
72725;SOLOLA;CERRO DE ORO
72730;SOLOLA;CERRO DE ORO
72731;SOLOLA;CERRO DE ORO
372846;TOTONICAPAN;CHUACHITUJ (CIUDAD)
373190;TOTONICAPAN;XEJUYUP
498023;TOTONICAPAN;PAXAN
498072;TOTONICAPAN;GUALTUX (CIUDAD)
6749244;TOTONICAPAN;CHOMOXOL
6750269;TOTONICAPAN;TUNAYAC (CIUDAD)
6751859;TOTONICAPAN;BARRIO SANTA ISABEL
6752003;TOTONICAPAN;CHOBAQUIT (OTRA)
6752187;TOTONICAPAN;CHOMOXOL
6752574;TOTONICAPAN;CATABALA CHIQUITO (CASERIO)
6752576;TOTONICAPAN;CHOERA (OTRA)
7498190;SAN MARCOS;SANTA CRUZ BUENA VISTA (CASERIO)
7498586;SAN MARCOS;GUADALUPE
7498662;SAN MARCOS;LA JOYA
7697962;SOLOLA;PANYEVAR
8047855;SOLOLA;SAN PABLO LA LAGUNA
8098618;SAN MARCOS;SIBINAL
8299456;HUEHUETENANGO;EL BANADERO
8347968;SAN MARCOS;EL PROGRESO
8347970;SAN MARCOS;EL PROGRESO
8348595;SAN MARCOS;JULEN (CASERIO)
8348761;SAN MARCOS;LOS CEREZOS
8348782;SAN MARCOS;CANCELA GRANDE
8348792;SAN MARCOS;CANCELA GRANDE
8499967;SAN MARCOS;TUIQUINQUE
8499979;SAN MARCOS;TUIQUINQUE
8499990;SAN MARCOS;TUIQUINQUE
